AREA,PERIMETER,WCOLGEN02_,WCOLGEN021,DPTO,NOMBRE_DPT,MPIO,NOMBRE_MPI,NOMBRE_CAB,CLASEMUN,MPIOS,ZONA,OF_REG,REG_ZONAS,HECTARES,_ID
548974328.073,129255.616077,1050,175,86,PUTUMAYO,760,SANTIAGO,SANTIAGO,CM,86760,ZONA08,DACLI,DACLIZONA08,54897.433,1045
81637429.104,42141.1111901,1051,12,52,NARIÑO,354,IMUES,IMUES,CM,52354,ZONA07,DACLI,DACLIZONA07,8163.743,1046
137641379.818,63199.3452733,1052,24,52,NARIÑO,720,SAPUYES,SAPUYES,CM,52720,ZONA07,DACLI,DACLIZONA07,13764.138,1047
477410929.236,144010.303198,1053,13,52,NARIÑO,287,FUNES,FUNES,CM,52287,ZONA07,DACLI,DACLIZONA07,47741.093,1048
629197155.385,120230.790862,1054,1061,18,CAQUETA,785,SOLITA,SOLITA,CM,18785,ZONA15,DABOG,DABOGZONA15,62919.716,1049
941877502.901,129428.696152,1055,21,52,NARIÑO,227,CUMBAL,CUMBAL,CM,52227,ZONA07,DACLI,DACLIZONA07,94187.75,1050
78866450.59,41279.4421392,1056,11,52,NARIÑO,506,OSPINA,OSPINA,CM,52506,ZONA07,DACLI,DACLIZONA07,7886.645,1051
978830259.52,155100.477782,1057,177,86,PUTUMAYO,885,VILLAGARZON,VILLAGARZON,CM,86885,ZONA08,DACLI,DACLIZONA08,97883.026,1052
4747585406.04,349360.56864,1058,1014,97,VAUPES,889,YAVARATE,YAVARATE,CD,97889,ZONA16,DABOG,DABOGZONA16,474758.541,1053
122409442.443,50866.4150221,1059,22,52,NARIÑO,317,GUACHUCAL,GUACHUCAL,CM,52317,ZONA07,DACLI,DACLIZONA07,12240.944,1054
3924152181,341318.90285,1060,1021,86,PUTUMAYO,571,PUERTO GUZMAN,PUERTO GUZMAN,CM,86571,ZONA08,DACLI,DACLIZONA08,392415.218,1055
97029369.9841,42788.6044022,1061,10,52,NARIÑO,352,ILES,ILES,CM,52352,ZONA07,DACLI,DACLIZONA07,9702.937,1056
154311508.352,62090.6252013,1062,5,52,NARIÑO,585,PUPIALES,PUPIALES,CM,52585,ZONA07,DACLI,DACLIZONA07,15431.151,1057
47496878.1105,26692.133603,1063,9,52,NARIÑO,323,GUALMATAN,GUALMATAN,CM,52323,ZONA07,DACLI,DACLIZONA07,4749.688,1058
1800589324.96,215476.071261,1064,171,86,PUTUMAYO,320,ORITO,ORITO,CM,86320,ZONA08,DACLI,DACLIZONA08,180058.932,1059
55979454.5762,38333.7104524,1065,19,52,NARIÑO,022,ALDANA,ALDANA,CM,52022,ZONA07,DACLI,DACLIZONA07,5597.945,1060
52706591.2055,33084.2694577,1066,8,52,NARIÑO,210,CONTADERO,CONTADERO,CM,52210,ZONA07,DACLI,DACLIZONA07,5270.659,1061
305283874.993,143580.881137,1067,7,52,NARIÑO,573,PUERRES,PUERRES,CM,52573,ZONA07,DACLI,DACLIZONA07,30528.387,1062
85354440.23190001,38658.5671832,1068,20,52,NARIÑO,224,CUASPUD,CARLOSAMA,CM,52224,ZONA07,DACLI,DACLIZONA07,8535.444,1063
315220520.797,137211.7873,1069,6,52,NARIÑO,215,CORDOBA,CORDOBA,CM,52215,ZONA07,DACLI,DACLIZONA07,31522.052,1064
1966537125.95,241152.103588,1070,3,52,NARIÑO,356,IPIALES,IPIALES,CM,52356,ZONA07,DACLI,DACLIZONA07,196653.713,1065
354771191.621,111981.392921,1071,4,52,NARIÑO,560,POTOSI,POTOSI,CM,52560,ZONA07,DACLI,DACLIZONA07,35477.119,1066
14775704858.4,857722.5092,1072,1015,97,VAUPES,511,PACOA,PACOA,CD,97511,ZONA16,DABOG,DABOGZONA16,1477570.486,1067
1557234025.59,200277.159352,1073,1022,86,PUTUMAYO,569,PUERTO CAICEDO,PUERTO CAICEDO,CM,86569,ZONA08,DACLI,DACLIZONA08,155723.403,1068
10672088699.3,748288.995209,1074,1031,86,PUTUMAYO,573,PUERTO LEGUIZAMO,PUERTO LEGUIZAMO,CM,86573,ZONA08,DACLI,DACLIZONA08,1067208.87,1069
